Vídeo_id,Fatia (5 minutos),Quantidade de Macs,Quantidade de Pessoas,Manha
1,1,29,56,0
1,2,27,37,0
1,3,21,24,0
1,4,14,26,0
1,5,18,57,0
1,6,19,34,0
1,7,21,18,0
1,8,30,19,0
2,1,3,7,0
2,2,3,19,0
2,3,4,11,0
2,4,5,21,0
2,5,8,9,0
2,6,9,8,0
3,1,25,24,0
3,2,26,14,0
3,3,13,21,0
3,4,20,11,0
3,5,15,25,0
3,6,17,15,0
3,7,25,26,0
3,8,25,25,0
4,1,32,37,1
4,2,28,24,1
4,3,15,11,1
4,4,33,12,1
4,5,15,18,1
4,6,17,14,1
4,7,17,15,1
4,8,18,8,0
5,1,8,23,0
5,2,8,26,0
5,3,4,33,0
5,4,1,20,0
5,5,10,29,0
5,6,15,15,0
5,7,15,10,0
5,8,11,21,0
6,1,10,11,0
6,2,11,14,0
6,3,15,22,0
6,4,5,9,0
6,5,5,10,0
6,6,12,20,0
6,7,15,15,0
6,8,9,13,0
6,9,5,13,0
6,10,12,29,0
6,11,8,41,0
6,12,11,25,0
8,1,13,84,1
8,2,11,4,1
8,3,15,15,1
8,4,21,39,1
8,5,21,11,1
8,6,25,24,1
8,7,5,7,1
8,8,29,22,1
8,9,7,2,1
8,10,13,14,1
8,11,9,36,1
8,12,13,11,1
8,13,21,24,1
8,14,15,9,1
8,15,16,60,1
8,16,20,64,1
8,17,20,19,1
